cepet,cepat
amandan,aman dan
gman,bagaimana
apk,aplikasi
gw,saya
app,aplikasi
ngelag,melambat
cepet,cepat
yihaw,asik
gk,tidak
bales,balas
trs,terus
g,tidak
lg,lagi
udh,sudah
pake,pakai
gojekindonesia,gojek indonesia
d,di
terimaksi,terima kasih
byk,banyak
tf,transfer
bsa,bisa
memudahkqan,memudahkan
klo,kalau
tp,tapi
n,dan
hrs,harus
mantull,mantap betul
knp,kenapa
gw,saya
top markotop,luar biasa
moga,semoga
sebel,sebal
dateng,datang
gajelasss,tidak jelas
bagusss,bagus
lemottt,lambat
ngk,tidak
j,saja
lg,lagi
ngisi,isi
kalo,kalau
seneng,senang
pokoke,pokok
gohek,gojek
bgtu,begitu
bsk,besok
ush,usah
banhet,banget
ajaa,saja
smpe,sampai
msuk,masuk
karna,karena
upgred,meningkatkan
simpell,simpel
ni,ini
nyender,bersandar
mo,mau
ga,tidak
iy,iya
blasss,banget
galagi,tidak lagi
nih,ini
sya,saya
dll,dan lain lain
playeter,bayar nanti
gimna,gimana
d,di
previkasai,verifikasi
bkl,bakal
wat,buat
dongk,dongke
kelaperan,kelaparan
promosisio,promosi
donk,dong
yg,yang
skrg,sekarang
ngeri,seram
lgi,lagi
sm,sama
dri,dari
pda,pada
dpt,dapat
jd,jadi
bgmnh,bagaimana
she,sih
manah,mana
apdeddd,memperbarui
sm,sama
jagan,jangan
ngadi,ada
jelasss,jelas
sanagat,sangat
knp,kenapa
samnya,sama
matursuwun,terima kasih
karenakn,karena
gt,gitu
dlu,dulu
org,prang
yg,yang
otw,jalan
gk,tidak
kog,kok
blom,belum
apgrede,meningkatkan
god,bagus
sya,saya
k,ke
poto,foto
jls,jelas
sblmnya,sebelum
pke,pakai
tp,tapi
gpp,tidak apa apa
bgnt,banget
kmanapun,kemanapun
mazeee,mas
skrng,sekarang
ama,sama
dulu,dulu
tmbh,tambah
ad,ada
byr,bayar
gtu,gitu
ubah,rubah
apps,aplikasi
muterrrrr,memutar
teros,terus
gua,saya
skrg,sekarang
kek,seperti
utang,hutang
helfull,membantu
gacor,bagus
plis,tolong
sia,kamu
mantul,mantap betul
gk,tidak
nggak,tidak
bgtu,begitu
kaga,tidak
parahh,parah
ajhh,saja
bosss,bos
tpi,tapi
narok,taruh
idup,hidup
tdi,tadi
pdhal,padahal
jdi,jadi
gajelas,tidak jelas
dpt,dapat
knpa,kenapa
ferifikasi,verifikasi
klarnya,selesai
kpan,kapan
mayan,lumayan
pokok e,pasti
kelar,selesai
apal,hapal
verpikasi,verifikasi
dech,deh
okeeeee,oke
tanggihan,tagihan
bungan,bunga
gue,saya
knpa,kenapa
lamaaaa,lama
ngga,tidak
josssss,bagus
okk,oke
jauhhh,jauh
mantab,mantap
rek,rekening
gak,tidak
pake,pakai
bsa,bisa
dipkai,dipakai
wadaw,waduh
nyiapin,siapkan
sii,si
gopaycicilnya,gopay cicil
sengn,seneng
dluuuu,dulu
aproval,diterima
gua,saya
setelh,setelah
terlallu,terlalu
okkk,oke
ntap,mantap
mntap,mantap
blum,belum
frofesional,profesional
limet,limit
trs,terus
bs,bisa
ajh,saja
tar,sebentar
terimaksih,terima kasih
pitur,fitur
tp,tapi
trims,terima kasih
hadeh,aduh
ny,nya
kerem,keren
sekip,lewat
bagusddss,bagus
mager,malas
anj,anjing
k,ke
inj,ini
dkit,sedikit
inj,ini
wew,wow
kofoookk,kapok
jujurly,jujur
blanja,belanja
buattt,buat
jadiii,jadi
loding,memuat
y,ya
mantaps,mantap
dbtuhin,dibutuhkan
smg,semoga
apl,aplikasi
sgt,sangat
tetep,tetap
babbi,babi
jd,jadi
cmn,cuman
clm,belum
mlh,malah
pdhl,padahal
bnr,benar
sruh,suruh
regist,registrasi
gk,tidak
lupq,lupa
byk,banyak
mantaaaaf,mantap
anyeb,kacau
it,itu
gg,bagus
tlp,telepon
iyhaa,iya
tidk,tidak
gagall,gagal
msih,masih
skrang,sekarang
knapa,kenapa
upgreud,meningkatkan
nggak,tidak
kg,tidak
jgn,jangan
suuuuuukkkkaaaaaaa,suka
mantulll,mantap betul
ad,ada
mantul,mantap betul
konya,kota
bangke,bangkai
kyknya,sepertinya
pnh,pernah
goooddddd,bagus
plyanan,pelayanan
trima,terima
apknya,aplikasi
tul,betul
mwngharuskan,mengharuskan
misl,misal
blockir,blokir
ut,untuk
taukkk,tau
tlpon,telepon
taikkk,tahi
byr,bayar
manap,mantap
ktanya,kata
msh,masih
brjam,jam
lh,lah
sistim,sistem
erorr,eror
mantapkeren,mantap
wlwpn,walaupun
bg,bang
trims,terima kasih
kacou,kacau
sll,selalu
mehong,mahal
gut,bagus
untk,untuk
kox,kok
gojeg,gojek
mantaps,mantap
skr,sekarang
jgn,jangan
memvantu,membantu
klu,kalau
ngk,tidak
kreen,keren
tdak,tidak
bgttt,banget
mtp,mantap
sumka,suka
jlz,jelas
jempoll,jempol
pisan,banget
mantappp,mantap
krem,keren
bnyk,banyak
skk,sekarang
mnusia,manusia
mnusianya,manusia
drpd,daripada
bs,bisa
sgt,sangat
piktif,fiktif
mtp,mantap
lumyn,lumayan
biyaya,biaya
skli,sekali
dhal,padahal
bagws,bagus
kdg,kadang
bingits,banget
tb,tiba
tdk,tidak
snagat,sangat
sanggat,sangat
buanget,banget
bgt,banget
hbs,habis
tlg,tolong
blanja,belanja
goblox,goblok
mlm,malam
dr,dari
slalu,selalu
ksih,kasih
rting,penilaian
mantaf,mantap
muahaalllll,mahal
thd,terhadap
dwsa,dewasa
mslh,masalah
mgndlkan,mengandalkan
smgt,semangat
bkrja,bekerja
sllu,selalu
mndptka,mendapatkan
mntap,mantap
donlot,unduh
q,aku
apgret,meningkatkan
bgs,bagus
aetengah,setengah
kyc,kayak
mtp,mantap
lumnyn,lumayan
tnyata,ternyata
tlg,tolong
pnjmputn,penjemputan
ilag,ilang
ataw,atau
hrs,harus
episien,efisien
hrg,harga
krjsma,kerjasama
kk,kakak
stiap,setiap
sistimny,sistem
tmpat,tempat
pemsan,pemesanan
gilx,gila
jt,juta
anj,anjing
thk,terima kasih
asa,ada
sm,sama
bgus,bagus
dikla,dikala
jlan,jalan
smpe,sampe
mantulllllll,mantap betul
bagussssa,bagus
ngk,tidak
bpk,bapak
bln,bulan
ngebles,balas
gx,tidak
mw,mau
pke,pakai
dreferi,pengemudi
thx,terima kasih
terimksh,terima kasih
vocer,kupon
maf,maaf
tolg,tolong
fersi,versi
bener,benar
mantabs,mantap
gmn,bagaimana
sbg,sebagai
yepat,tepat
blom,belum
gmnsi,bagaimana
alamt,alamat
updet,memperbarui
spd,sepeda
pwrcaya,percaya
jkt,jakarta
terbaiq,terbaik
mantaps,mantap
atw,atau
sgt,sangat
gud,bagus
sj,saja
trm,terima
ksh,kasih
klw,kalau
ekxtrem,ekstrem
ttp,tetap
